ip,city,region,country,loc,timezone,country_name,latitude,longitude,org,hostname,postal,bogon
2.139.249.224,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,AS3352 TELEFONICA DE ESPANA,224.red-2-139-249.staticip.rima-tde.net,28001,
2.140.27.253,Barcelona,Catalonia,ES,"41.3888,2.1590",Europe/Madrid,Spain,41.3888,2.1590,AS3352 TELEFONICA DE ESPANA,253.red-2-140-27.dynamicip.rima-tde.net,08001,
2.142.98.251,Benidorm,Valencia,ES,"38.5382,-0.1310",Europe/Madrid,Spain,38.5382,-0.1310,AS3352 TELEFONICA DE ESPANA,251.red-2-142-98.dynamicip.rima-tde.net,03502,
2.197.29.235,Milan,Lombardy,IT,"45.4643,9.1895",Europe/Rome,Italy,45.4643,9.1895,AS16232 Telecom Italia S.p.A.,,20121,
2.40.14.75,Como,Lombardy,IT,"45.8082,9.0832",Europe/Rome,Italy,45.8082,9.0832,AS30722 Vodafone Italia S.p.A.,net-2-40-14-75.cust.vodafonedsl.it,22100,
2.9.116.235,Nantes,Pays de la Loire,FR,"47.2172,-1.5534",Europe/Paris,France,47.2172,-1.5534,AS3215 Orange S.A.,anantes-554-1-268-235.w2-9.abo.wanadoo.fr,44000,
2.9.118.92,Nantes,Pays de la Loire,FR,"47.2172,-1.5534",Europe/Paris,France,47.2172,-1.5534,AS3215 Orange S.A.,anantes-554-1-270-92.w2-9.abo.wanadoo.fr,44000,
2.9.203.175,Nantes,Pays de la Loire,FR,"47.2172,-1.5534",Europe/Paris,France,47.2172,-1.5534,AS3215 Orange S.A.,anantes-661-1-24-175.w2-9.abo.wanadoo.fr,44000,
200.0.29.9,Loja,Loja,EC,"-3.9931,-79.2042",America/Guayaquil,Ecuador,-3.9931,-79.2042,AS27820 Universidad Tecnica Particular de Loja,,,
200.106.114.232,Lima,Lima,PE,"-12.0432,-77.0282",America/Lima,Peru,-12.0432,-77.0282,AS6147 Telefonica del Peru S.A.A.,client-200.106.114.232.speedy.net.pe,15001,
200.116.194.112,Popayán,Cauca,CO,"2.4382,-76.6132",America/Bogota,Colombia,2.4382,-76.6132,AS8065 EPM Telecomunicaciones S.A. E.S.P.,static-200-116-194-112.une.net.co,190001,
200.12.141.223,Santiago,Santiago Metropolitan,CL,"-33.4569,-70.6483",America/Santiago,Chile,-33.4569,-70.6483,AS27874 ENAP - Empresa Nacional del Petroleos Chile,,8320000,
200.153.240.37,Campinas,São Paulo,BR,"-22.9056,-47.0608",America/Sao_Paulo,Brazil,-22.9056,-47.0608,AS27699 TELEFÔNICA BRASIL S.A,200-153-240-37.dsl.telesp.net.br,13000-000,
200.205.88.106,São Paulo,São Paulo,BR,"-23.5475,-46.6361",America/Sao_Paulo,Brazil,-23.5475,-46.6361,AS10429 TELEFÔNICA BRASIL S.A,,01000-000,
200.23.91.150,Mexico City,Mexico City,MX,"19.4285,-99.1277",America/Mexico_City,Mexico,19.4285,-99.1277,AS8151 Uninet S.A. de C.V.,,03020,
200.24.215.217,Quito,Pichincha,EC,"-0.2298,-78.5250",America/Guayaquil,Ecuador,-0.2298,-78.5250,AS19114 Otecel S.A.,,,
200.46.114.194,Curundú,Panamá,PA,"8.9709,-79.5461",America/Panama,Panama,8.9709,-79.5461,AS21599 Cable Onda,,,
200.88.48.174,Santo Domingo,Nacional,DO,"18.5000,-69.9000",America/Santo_Domingo,Dominican Republic,18.5000,-69.9000,AS6400 Compañía Dominicana de Teléfonos S. A.,174.48.88.200.l.static.claro.net.do,10407,
200.95.170.204,Monterrey,Nuevo León,MX,"25.6751,-100.3185",America/Monterrey,Mexico,25.6751,-100.3185,AS8151 Uninet S.A. de C.V.,,64720,
200.98.140.151,São Paulo,São Paulo,BR,"-23.5475,-46.6361",America/Sao_Paulo,Brazil,-23.5475,-46.6361,AS7162 Universo Online S.A.,200-98-140-151.clouduol.com.br,01000-000,
